Evaluation for 2024-06-30

=== Predictions by Race ===
Fixture 1 Race 1:
Horse | ModelProb | SPOdds
  Lermoos Legend (GB) | 0.5444 | 0.0909
  Thank You Blue (GB) | 0.3108 | 0.0909
  Melvich Bay (GB) | 0.0676 | 0.0526
  Minella Youngy (IRE) | 0.3739 | 0.0769
  Check My Pulse (IRE) | 0.0447 | 0.0667
  Post No Bills (IRE) | 0.0178 | 0.0833
  Gouet des Bruyeres (FR) | 0.0724 | 0.0244
  Tonto's Spirit (GB) | 0.0937 | 0.0196

Fixture 2 Race 7:
Horse | ModelProb | SPOdds
  Roll With It (IRE) | 0.1015 | 0.2000
  Cash Again (FR) | 0.2602 | 0.0833
  Calahill (IRE) | 0.1297 | 0.0588
  Lights Are Green (IRE) | 0.2345 | 0.1111
  The King of May (FR) | 0.3319 | 0.0667
  Macavity (GB) | 0.0680 | 0.0769
  The Electrician (IRE) | 0.0386 | 0.1250
  Sputnik (IRE) | 0.0657 | 0.0588
  Toucan Sam (GB) | 0.2629 | 0.0476
  Baron Briggs (IRE) | 0.0478 | 0.0769

Fixture 3 Race 1:
Horse | ModelProb | SPOdds
  Gale Mahler (IRE) | 0.6270 | 0.0526
  Flying Fortune (IRE) | 0.0936 | 0.3333
  Paddy de Pole (IRE) | 0.4030 | 0.0769
  Speed Davis (FR) | 0.0870 | 0.1111
  Scottish King (IRE) | 0.0490 | 0.0435
  Lucky Stripe (GB) | 0.0141 | 0.0050
  Kuma Beach (GB) | 0.3623 | 0.0050
  Gentlieman Ross (GB) | 0.0698 | 0.0050

Fixture 3 Race 2:
Horse | ModelProb | SPOdds
  Riskintheground (IRE) | 0.6576 | 0.0625
  Dripsey Moon (IRE) | 0.0978 | 0.1667
  Will Carver (IRE) | 0.5883 | 0.0909
  Hyland (FR) | 0.5107 | 0.1429
  Peking Rose (GB) | 0.1078 | 0.1429

Fixture 3 Race 3:
Horse | ModelProb | SPOdds
  Coastguard Station (IRE) | 0.5225 | 0.1111
  Fringill Dike (IRE) | 0.4389 | 0.1111
  Breizh River (FR) | 0.6148 | 0.0769
  Opening Bid (GB) | 0.5767 | 0.0667
  Sir Tivo (FR) | 0.5577 | 0.0149
  Issuing Authority (IRE) | 0.0940 | 0.0909
  Cracking Destiny (IRE) | 0.4966 | 0.0294
  Frere d'Armes (FR) | 0.6546 | 0.1250
  Onemorefortheroad (GB) | 0.1080 | 0.0476
  Fearless (IRE) | 0.1359 | 0.0667
  Sacre Coeur (FR) | 0.5906 | 0.0588
  Al Zaraqaan (GB) | 0.1066 | 0.0588
  A Different Kind (IRE) | 0.1096 | 0.0476

Fixture 3 Race 4:
Horse | ModelProb | SPOdds
  Hang In There (IRE) | 0.5997 | 0.0526
  Percussion (GB) | 0.0986 | 0.0588
  Monte Igueldo (FR) | 0.0752 | 0.0079
  Mole Court (IRE) | 0.4422 | 0.1000
  Streets of Doyen (IRE) | 0.0880 | 0.0588
  Go On Chez (GB) | 0.5553 | 0.0909
  Investment Manager (GB) | 0.5110 | 0.0667
  Whistleinthedark (IRE) | 0.5574 | 0.0667
  Imperial Alex (IRE) | 0.4794 | 0.1250
  Court Master (IRE) | 0.0373 | 0.0294
  Kinondo Kwetu (GB) | 0.0846 | 0.0526
  Milan Bridge (IRE) | 0.3993 | 0.0385
  Hidden Heroics (FR) | 0.5162 | 0.1667
  Flaming Ambition (IRE) | 0.0775 | 0.1250

Fixture 3 Race 5:
Horse | ModelProb | SPOdds
  Pyffo (IRE) | 0.0389 | 0.0769
  Porter In The Park (IRE) | 0.0669 | 0.1250
  Halifax (FR) | 0.0521 | 0.0667
  Bucko's Boy (GB) | 0.0803 | 0.0909
  Earth King (IRE) | 0.0849 | 0.1111
  Lihyan (IRE) | 0.1010 | 0.0769
  Juan Bermudez (GB) | 0.1131 | 0.1667
  Nothin To Ask (IRE) | 0.4795 | 0.0909
  Kingston Bridge (IRE) | 0.0781 | 0.0667
  Wbee (IRE) | 0.0694 | 0.0345
  Edison Kent (IRE) | 0.0713 | 0.0588
  Calagogo (IRE) | 0.0614 | 0.0066
  Pull Again Green (IRE) | 0.5283 | 0.1111

Fixture 3 Race 6:
Horse | ModelProb | SPOdds
  Breaking Waves (IRE) | 0.0615 | 0.0345
  Police Academy (IRE) | 0.4125 | 0.0769
  Muskoka (IRE) | 0.5094 | 0.0588
  Clararose (IRE) | 0.1048 | 0.1429
  Walk of No Shame (IRE) | 0.1120 | 0.0833
  Fourofakind (IRE) | 0.1054 | 0.0909
  State of Bliss (IRE) | 0.0989 | 0.0833
  Good Bye (GER) | 0.0460 | 0.0196
  Stans The Man (IRE) | 0.3325 | 0.0435
  Charlie's Glance (GB) | 0.0142 | 0.0769
  Ted's Friend (IRE) | 0.0089 | 0.0476
  Throne Hall (GB) | 0.2610 | 0.0345
  Presenting Pete (IRE) | 0.0966 | 0.0526

Fixture 3 Race 7:
Horse | ModelProb | SPOdds
  Maxcel (GB) | 0.0837 | 0.0769
  Mostly Sunny (IRE) | 0.1041 | 0.1000
  Right Now (IRE) | 0.0752 | 0.0667
  Forget The Way (GB) | 0.1667 | 0.0769
  Elham Valley (FR) | 0.1119 | 0.0769
  Byzantine Empire (GB) | 0.3186 | 0.0345
  Myristica (IRE) | 0.0757 | 0.0667
  Sonning (IRE) | 0.1125 | 0.0294
  Cillians Charm (IRE) | 0.0709 | 0.0123

=== Calibration Metrics ===
Log loss: 0.3926
Brier score: 0.1174

=== Per-Race Strategy ===
Strategy=top_pick, Fixture=1, Race=1, Bets=1, Profit=18.00, ROI=18.000
Strategy=top_pick, Fixture=1, Race=2, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=1, Race=3, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=1, Race=4, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=1, Race=5, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=1, Race=6, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=1, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=2, Bets=1, Profit=8.00, ROI=8.000
Strategy=top_pick, Fixture=2, Race=3, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=4, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=5, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=6, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=2, Race=7, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=3, Race=1, Bets=1, Profit=18.00, ROI=18.000
Strategy=top_pick, Fixture=3, Race=2, Bets=1, Profit=15.00, ROI=15.000
Strategy=top_pick, Fixture=3, Race=3, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=3, Race=4, Bets=1, Profit=18.00, ROI=18.000
Strategy=top_pick, Fixture=3, Race=5, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=3, Race=6, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=top_pick, Fixture=3, Race=7, Bets=1, Profit=-1.00, ROI=-1.000
Strategy=value_bets, Fixture=1, Race=1, Bets=4, Profit=15.00, ROI=3.750
Strategy=value_bets, Fixture=1, Race=2, Bets=4, Profit=-4.00, ROI=-1.000
Strategy=value_bets, Fixture=1, Race=3, Bets=12, Profit=-2.00, ROI=-0.167
Strategy=value_bets, Fixture=1, Race=4, Bets=9, Profit=-9.00, ROI=-1.000
Strategy=value_bets, Fixture=1, Race=5, Bets=5, Profit=12.00, ROI=2.400
Strategy=value_bets, Fixture=1, Race=6, Bets=6, Profit=-6.00, ROI=-1.000
Strategy=value_bets, Fixture=2, Race=1, Bets=5, Profit=-5.00, ROI=-1.000
Strategy=value_bets, Fixture=2, Race=2, Bets=8, Profit=1.00, ROI=0.125
Strategy=value_bets, Fixture=2, Race=3, Bets=4, Profit=-4.00, ROI=-1.000
Strategy=value_bets, Fixture=2, Race=4, Bets=9, Profit=-9.00, ROI=-1.000
Strategy=value_bets, Fixture=2, Race=5, Bets=9, Profit=-5.00, ROI=-0.556
Strategy=value_bets, Fixture=2, Race=6, Bets=7, Profit=4.00, ROI=0.571
Strategy=value_bets, Fixture=2, Race=7, Bets=6, Profit=-6.00, ROI=-1.000
Strategy=value_bets, Fixture=3, Race=1, Bets=6, Profit=13.00, ROI=2.167
Strategy=value_bets, Fixture=3, Race=2, Bets=3, Profit=13.00, ROI=4.333
Strategy=value_bets, Fixture=3, Race=3, Bets=13, Profit=-4.00, ROI=-0.308
Strategy=value_bets, Fixture=3, Race=4, Bets=13, Profit=6.00, ROI=0.462
Strategy=value_bets, Fixture=3, Race=5, Bets=7, Profit=-7.00, ROI=-1.000
Strategy=value_bets, Fixture=3, Race=6, Bets=10, Profit=19.00, ROI=1.900
Strategy=value_bets, Fixture=3, Race=7, Bets=9, Profit=4.00, ROI=0.444

=== Aggregate Performance ===
top_pick: Total Bets=20, Profit=62.00, ROI=3.100
value_bets: Total Bets=149, Profit=26.00, ROI=0.174
